SR NO,DIVISION,SUB DIVISION,SS NAME,FEEDER,CAT,TND CODE,TOTAL CONSUMER,TOTAL TC, FULLY ON,PARTIALLY ON,FULLY OFF,,,,,
170,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,11 KV BRAHAMANAGER,URBAN,310005,5675,52,FALSE,FALSE,FALSE,,,,,
171,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,OMKARA,URBAN,310006,911,19,FALSE,FALSE,FALSE,,,,,
172,Vishwamitri-East,Khodiyar Nagar,SAYAJIPURA,SAYAJIPURA SST,SST,310099,0,0,FALSE,FALSE,FALSE,,,,,
173,Vishwamitri-East,Mandvi ,INDRAPURI,NEW CHAMPANER,URBAN,31002,1314,15,FALSE,FALSE,FALSE,,,,,
174,Vishwamitri-East,Mandvi ,INDRAPURI,SANTKANWAR,URBAN,31017,2250,26,FALSE,FALSE,FALSE,,,,,
175,Vishwamitri-East,Mandvi ,NAVLAKHI R|S,MANDVI,URBAN,32435,3174,11,FALSE,FALSE,FALSE,,,,,
176,Vishwamitri-East,Mandvi ,HARNI,MAHAVIR,URBAN,104304,2381,18,FALSE,FALSE,FALSE,,,,,
177,Vishwamitri-East,Mandvi ,HARNI,JUBELI BAUG,URBAN,104305,5379,25,FALSE,FALSE,FALSE,,,,,
178,Vishwamitri-East,Mandvi ,HARNI,ASTBHUJA(SARASIYA),URBAN,104313,3254,12,FALSE,FALSE,FALSE,,,,,
179,Vishwamitri-East,Mandvi ,HARNI,FATEPURA(VIJAYNAGAR),URBAN,104324,5390,17,FALSE,FALSE,FALSE,,,,,
180,Vishwamitri-East,Mandvi ,HARNI,HATHIKHANA,URBAN,104327,4729,21,FALSE,FALSE,FALSE,,,,,
181,Vishwamitri-East,Mandvi ,GAJRAWADI,BAJWADA,URBAN,104509,2562,15,FALSE,FALSE,FALSE,,,,,
182,Vishwamitri-East,Mandvi ,GAJRAWADI,VITTHAL MANDIR,URBAN,104515,3937,13,FALSE,FALSE,FALSE,,,,,
183,Vishwamitri-East,Panigate,INDRAPURI,PANIGATE - I,URBAN,31004,2831,13,FALSE,FALSE,FALSE,,,,,
184,Vishwamitri-East,Panigate,INDRAPURI,PANIGATE - II,URBAN,31005,4256,35,FALSE,FALSE,FALSE,,,,,
185,Vishwamitri-East,Panigate,INDRAPURI,KISANWADI(PANI TANKI),URBAN,31006,3852,23,FALSE,FALSE,FALSE,,,,,
186,Vishwamitri-East,Panigate,WAGHODIAROAD,KOTIYARK,URBAN,31010,3517,30,FALSE,FALSE,FALSE,,,,,
187,Vishwamitri-East,Panigate,INDRAPURI,AYURVEDIK,URBAN,31024,4441,32,FALSE,FALSE,FALSE,,,,,
188,Vishwamitri-East,Panigate,INDRAPURI,DUDHESHWAR,URBAN,31025,3326,30,FALSE,FALSE,FALSE,,,,,
189,Vishwamitri-East,Panigate,WAGHODIAROAD,KALADARSHAN,URBAN,31032,2501,34,FALSE,FALSE,FALSE,,,,,
190,Vishwamitri-East,Panigate,GAJRAWADI,D MART,URBAN,104511,2397,40,FALSE,FALSE,FALSE,,,,,
191,Vishwamitri-East,Panigate,GAJRAWADI,MOGALWADA,URBAN,104514,4146,17,FALSE,FALSE,FALSE,,,,,
192,Vishwamitri-East,Panigate,WAGHODIAROAD,PRARAMBH,URBAN,143305,2449,26,FALSE,FALSE,FALSE,,,,,
193,Vishwamitri-East,Panigate,WAGHODIAROAD,TAPOVAN,URBAN,143311,2029,22,FALSE,FALSE,FALSE,,,,,
194,Vishwamitri-East,Sardar Ind Estate,INDRAPURI,SARDAR ESTATE,IND,31008,212,27,FALSE,FALSE,FALSE,,,,,
195,Vishwamitri-East,Sardar Ind Estate,INDRAPURI,APMC (GERRISOIN ENGG),URBAN,31016,2758,25,FALSE,FALSE,FALSE,,,,,
196,Vishwamitri-East,Sardar Ind Estate,INDRAPURI,SAYAJINAGAR,URBAN,31019,2644,29,FALSE,FALSE,FALSE,,,,,
197,Vishwamitri-East,Sardar Ind Estate,INDRAPURI,SARSWATI(SARDAR),URBAN,31021,3793,24,FALSE,FALSE,FALSE,,,,,
198,Vishwamitri-East,Sardar Ind Estate,INDRAPURI,AMBICA,IND,31023,141,22,FALSE,FALSE,FALSE,,,,,
